# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[0]
Filename = mapRegion0.png
Name = Prism Outpost
Point = 3,7,Crashsite A,,,,,
Point = 4,7,Route 1,Kurisu's House,32,20,14,
Point = 5,7,Route 1,,,,,
Point = 6,7,Titan's Foot Village,,43,21,18,
Point = 6,6,Route 2,,,,,
Point = 6,5,Route 2,,,,,
Point = 7,5,Route 3,,,,,
Point = 8,5,Route 3,,,,,
Point = 9,5,Route 3,,,,,
Point = 10,5,Route 3,,,,,
Point = 9,4,Azure Lake,,,,,
Point = 9,3,Azure Lake,,,,,
Point = 11,5,Azure Base,Gym,81,19,22,
Point = 11,6,Route 4,,,,,
Point = 11,7,Route 4,,,,,
Point = 11,8,Route 4,,,,,
Point = 10,8,Route 4,,,,,
Point = 9,8,Luna Mine,,,,,
Point = 8,10,Luna Mine,,,,,
Point = 7,10,Route 5,,,,,
Point = 6,10,Route 5,,,,,
Point = 6,9,Route 5,,,,,
Point = 6,8,Titan's Foot Village,,,,,
Point = 12,8,Route 6,,,,,
Point = 13,8,Route 6,,,,,
Point = 14,8,Maple Town,,92,15,13,
Point = 14,9,Maple Town,Gym,,,,
Point = 15,8,Nocturne Wood,,,,,
Point = 14,10,Route 7,,,,,
Point = 14,11,Route 7,,,,,
Point = 13,11,Route 7,,,,,
Point = 12,11,Girit Town,,99,26,18,
Point = 11,12,Girit Town,Gym,,,,
Point = 11,11,Girit Town,,,,,
Point = 9,12,Route 8,,,,,
Point = 8,12,Route 8,,,,,
Point = 8,11,Route 8,,,,,
Point = 8,13,Route 9,,,,,
Point = 8,14,Route 9,,,,,
Point = 8,15,Route 10,,,,,
Point = 9,15,Route 10,,,,,
Point = 10,15,Bonfire Island,Gym,108,36,27,
Point = 11,14,Waterside Cavern,,,,,
Point = 13,7,Route 11,,,,,
Point = 13,6,Route 11,,,,,
Point = 13,5,Route 11,,,,,
Point = 13,4,Route 12,,,,,
Point = 13,3,Route 12,,,,,
Point = 12,3,Azure Lake,,,,,
Point = 11,3,Azure Shipyard,,,,,
Point = 14,3,Lavenn Forest,,,,,
Point = 15,3,Lavenn Forest,,,,,
Point = 16,3,Faypoint Town,Gym,127,19,17,
Point = 14,12,Keystone Pass,,,,,
Point = 14,13,Keystone Pass,,,,,
Point = 15,13,Keystone Pass,,,,,
Point = 16,13,Route 13,,,,,
Point = 17,13,Route 13,,,,,
Point = 18,13,Eridhe Town,,136,21,24,
Point = 19,12,Route 14,,,,,
Point = 19,13,Eridhe Town,Gym,,,,
Point = 18,11,Aurum Desert,,,,,
Point = 17,11,Ancient Ruins,,,,,
Point = 20,13,Route 15,,,,,
Point = 20,12,Route 15,,,,,
Point = 21,12,Route 15,,,,,
Point = 22,12,Route 15,,,,,
Point = 22,13,Stark Beach,,,,,
Point = 22,14,Stark Bay,,,,,
Point = 23,14,Stark Bay,,,,,
Point = 24,14,Stark Bay,,,,,
Point = 24,13,Route 16,,,,,
Point = 24,12,Route 16,,,,,
Point = 24,11,The Crucible,,,,,
Point = 24,10,Route 16,,,,,
Point = 24,9,Draconis Village,Gym,163,36,13,
Point = 19,9,Argentum Caldera,,,,,
Point = 19,8,Argentum Caldera,,,,,
Point = 23,9,Draconis Cave,,,,,
Point = 19,6,Route 18,,,,,
Point = 20,6,Route 19,,,,,
Point = 21,6,Route 19,,,,,
Point = 22,6,Route 19,,,,,
Point = 23,6,Frostpeak Town,Gym,178,8,25,
Point = 24,6,Frostpeak Town,,,,,
Point = 24,5,Route 20,,,,,
Point = 24,4,Route 20,,,,,
Point = 24,3,Altar of the Stars,,,,,
Point = 20,5,Linking Cave,,,,,
Point = 20,3,Linking Cave,,,,,
